model,category,n,percent
codegemma:7b,missing_traceability,214,89.17
codegemma:7b,generic_traceability,26,10.83
granite-code:3b,missing_traceability,211,87.92
granite-code:3b,generic_traceability,25,10.42
granite-code:3b,incomplete_artifact,1,0.42
granite-code:3b,weak_governance,1,0.42
granite-code:3b,no_major_flag,1,0.42
granite-code:3b,unsupported_or_risky_content,1,0.42
granite-code:8b,missing_traceability,169,70.42
granite-code:8b,generic_traceability,57,23.75
granite-code:8b,weak_governance,5,2.08
granite-code:8b,unsupported_or_risky_content,4,1.67
granite-code:8b,no_major_flag,3,1.25
granite-code:8b,malformed_or_unparseable,2,0.83
llama3.2:3b,missing_traceability,167,69.58
llama3.2:3b,generic_traceability,70,29.17
llama3.2:3b,incorrect_or_off_context,3,1.25
qwen2.5-coder:1.5b,missing_traceability,156,65.0
qwen2.5-coder:1.5b,generic_traceability,70,29.17
qwen2.5-coder:1.5b,malformed_or_unparseable,12,5.0
qwen2.5-coder:1.5b,no_major_flag,2,0.83
qwen2.5-coder:14b,missing_traceability,188,78.33
qwen2.5-coder:14b,generic_traceability,50,20.83
qwen2.5-coder:14b,weak_governance,1,0.42
qwen2.5-coder:14b,unsupported_or_risky_content,1,0.42
qwen2.5-coder:3b,missing_traceability,173,72.08
qwen2.5-coder:3b,generic_traceability,67,27.92
qwen2.5-coder:7b,missing_traceability,182,75.83
qwen2.5-coder:7b,generic_traceability,58,24.17
qwen2.5:1.5b,missing_traceability,166,69.17
qwen2.5:1.5b,generic_traceability,68,28.33
qwen2.5:1.5b,malformed_or_unparseable,4,1.67
qwen2.5:1.5b,incomplete_artifact,1,0.42
qwen2.5:1.5b,no_major_flag,1,0.42
qwen2.5:3b,missing_traceability,176,73.33
qwen2.5:3b,generic_traceability,51,21.25
qwen2.5:3b,incomplete_artifact,12,5.0
qwen2.5:3b,malformed_or_unparseable,1,0.42
qwen2.5:7b,missing_traceability,180,75.0
qwen2.5:7b,generic_traceability,56,23.33
qwen2.5:7b,incorrect_or_off_context,4,1.67
qwen3:14b,missing_traceability,137,57.08
qwen3:14b,generic_traceability,99,41.25
qwen3:14b,incorrect_or_off_context,2,0.83
qwen3:14b,unsupported_or_risky_content,1,0.42
qwen3:14b,weak_governance,1,0.42
qwen3:8b,missing_traceability,159,66.25
qwen3:8b,generic_traceability,77,32.08
qwen3:8b,no_major_flag,3,1.25
qwen3:8b,incorrect_or_off_context,1,0.42
starcoder2:3b,malformed_or_unparseable,184,76.67
starcoder2:3b,runtime_or_timeout,31,12.92
starcoder2:3b,missing_traceability,15,6.25
starcoder2:3b,incomplete_artifact,7,2.92
starcoder2:3b,generic_traceability,2,0.83
starcoder2:3b,incorrect_or_off_context,1,0.42
starcoder2:7b,malformed_or_unparseable,196,81.67
starcoder2:7b,missing_traceability,29,12.08
starcoder2:7b,generic_traceability,8,3.33
starcoder2:7b,incorrect_or_off_context,4,1.67
starcoder2:7b,runtime_or_timeout,2,0.83
starcoder2:7b,incomplete_artifact,1,0.42
