model_a,model_b,n_common_tasks,mean_a,mean_b,mean_diff_a_minus_b,median_diff_a_minus_b,nonzero_pairs,wilcoxon_w_plus,p_value_normal_approx,paired_sign_effect
qwen2.5:3b,qwen2.5-coder:7b,240,7.1146,6.9,0.2146,0.5,191,11446.0,0.002903,0.267
qwen2.5:3b,qwen3:14b,240,7.1146,6.8875,0.2271,0.5,203,12686.5,0.00536,0.2118
qwen2.5:3b,llama3.2:3b,240,7.1146,6.8292,0.2854,0.0,195,12451.0,0.000243,0.1795
qwen2.5:3b,qwen3:8b,240,7.1146,6.6896,0.425,0.5,202,14695.0,0.0,0.3564
qwen2.5:3b,codegemma:7b,240,7.1146,6.6625,0.4521,0.5,196,14155.0,0.0,0.3469
qwen2.5-coder:7b,qwen3:14b,240,6.9,6.8875,0.0125,0.0,199,10059.5,0.892917,0.0653
qwen2.5-coder:7b,llama3.2:3b,240,6.9,6.8292,0.0708,0.0,189,9610.0,0.400952,0.0582
qwen2.5-coder:7b,qwen3:8b,240,6.9,6.6896,0.2104,0.0,193,11447.5,0.007233,0.171
qwen2.5-coder:7b,codegemma:7b,240,6.9,6.6625,0.2375,0.0,185,11057.0,0.000764,0.2
qwen3:14b,llama3.2:3b,240,6.8875,6.8292,0.0583,0.0,197,9925.0,0.828566,-0.0051
qwen3:14b,qwen3:8b,240,6.8875,6.6896,0.1979,0.0,190,10991.5,0.011462,0.2105
qwen3:14b,codegemma:7b,240,6.8875,6.6625,0.225,0.0,204,12609.5,0.010707,0.1275
llama3.2:3b,qwen3:8b,240,6.8292,6.6896,0.1396,0.0,186,10048.0,0.065835,0.1828
llama3.2:3b,codegemma:7b,240,6.8292,6.6625,0.1667,0.0,195,11227.0,0.0341,0.0564
qwen3:8b,codegemma:7b,240,6.6896,6.6625,0.0271,0.0,200,10372.5,0.693947,0.02
