group_a,group_b,n_a,n_b,mean_a,mean_b,cliffs_delta_a_minus_b,mann_whitney_u,p_value_normal_approx
codegemma,granite-code,240,480,6.6625,6.4458,0.1423,65794.5,0.001841
codegemma,llama3.2,240,240,6.6625,6.8292,-0.0806,26478.5,0.126554
codegemma,qwen2.5,240,720,6.6625,6.7292,-0.056,81561.0,0.193325
codegemma,qwen2.5-coder,240,960,6.6625,6.7094,-0.055,108860.5,0.186775
codegemma,qwen3,240,480,6.6625,6.7885,-0.0622,54016.5,0.173171
codegemma,starcoder2,240,480,6.6625,0.8104,0.9058,109773.0,0.0
granite-code,llama3.2,480,240,6.4458,6.8292,-0.1829,47067.5,6.2e-05
granite-code,qwen2.5,480,720,6.4458,6.7292,-0.1671,143923.5,1e-06
granite-code,qwen2.5-coder,480,960,6.4458,6.7094,-0.1657,192224.5,0.0
granite-code,qwen3,480,480,6.4458,6.7885,-0.1552,97323.0,3.2e-05
granite-code,starcoder2,480,480,6.4458,0.8104,0.8873,217411.5,0.0
llama3.2,qwen2.5,240,720,6.8292,6.7292,0.0303,89015.0,0.482083
llama3.2,qwen2.5-coder,240,960,6.8292,6.7094,0.0316,118840.5,0.448378
llama3.2,qwen3,240,480,6.8292,6.7885,0.0145,58438.0,0.750088
llama3.2,starcoder2,240,480,6.8292,0.8104,0.9089,109953.0,0.0
qwen2.5,qwen2.5-coder,720,960,6.7292,6.7094,0.0018,346215.0,0.950165
qwen2.5,qwen3,720,480,6.7292,6.7885,-0.0157,170084.5,0.64428
qwen2.5,starcoder2,720,480,6.7292,0.8104,0.9012,328528.5,0.0
qwen2.5-coder,qwen3,960,480,6.7094,6.7885,-0.0163,226638.0,0.613044
qwen2.5-coder,starcoder2,960,480,6.7094,0.8104,0.8962,436873.5,0.0
qwen3,starcoder2,480,480,6.7885,0.8104,0.9058,219552.0,0.0
